"Constituency","Province_Territory","Region","Start_Date","End_Date","Currently_Active"
"Ahuntsic-Cartierville","Quebec","Montreal Island",2015-08-02,NA,"Active"
"Ajax","Ontario","Toronto (City)",2015-08-02,NA,"Active"
"Argenteuil--La Petite-Nation","Quebec","Ottawa-Gatineau",2015-08-02,NA,"Active"
"Aurora--Oak Ridges--Richmond Hill","Ontario","Scarborough",2015-08-02,NA,"Active"
"Avignon--La Mitis--Matane--Matapédia","Quebec",NA,2015-08-02,NA,"Active"
"Banff--Airdrie","Alberta",NA,2015-08-02,NA,"Active"
"Barrie--Innisfil","Ontario",NA,2015-08-02,NA,"Active"
"Barrie--Springwater--Oro-Medonte","Ontario",NA,2015-08-02,NA,"Active"
"Battle River--Crowfoot","Alberta",NA,2015-08-02,NA,"Active"
"Bay of Quinte","Ontario",NA,2015-08-02,NA,"Active"
"Beauport--Côte-de-Beaupré--Île D’Orléans--Charlevoix","Quebec","Québec City",2015-08-02,NA,"Active"
"Bécancour--Nicolet--Saurel","Quebec",NA,2015-08-02,NA,"Active"
"Bellechasse--Les Etchemins--Lévis","Quebec",NA,2015-08-02,NA,"Active"
"Beloeil--Chambly","Quebec",NA,2015-08-02,NA,"Active"
"Bonavista--Burin--Trinity","Newfoundland and Labrador",NA,2015-08-02,NA,"Active"
"Bow River","Alberta",NA,2015-08-02,NA,"Active"
"Brampton Centre","Ontario","Mississauga-Brampton",2015-08-02,NA,"Active"
"Brampton East","Ontario","Mississauga-Brampton",2015-08-02,NA,"Active"
"Brampton North","Ontario","Mississauga-Brampton",2015-08-02,NA,"Active"
"Brampton South","Ontario","Mississauga-Brampton",2015-08-02,NA,"Active"
"Brantford--Brant","Ontario",NA,2015-08-02,NA,"Active"
"Brossard--Saint-Lambert","Quebec",NA,2015-08-02,NA,"Active"
"Burnaby North--Seymour","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"Burnaby South","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"Calgary Confederation","Alberta","Calgary",2015-08-02,NA,"Active"
"Calgary Forest Lawn","Alberta","Calgary",2015-08-02,NA,"Active"
"Calgary Heritage","Alberta","Calgary",2015-08-02,NA,"Active"
"Calgary Midnapore","Alberta","Calgary",2015-08-02,NA,"Active"
"Calgary Nose Hill","Alberta","Calgary",2015-08-02,NA,"Active"
"Calgary Rocky Ridge","Alberta","Calgary",2015-08-02,NA,"Active"
"Calgary Shepard","Alberta","Calgary",2015-08-02,NA,"Active"
"Calgary Signal Hill","Alberta","Calgary",2015-08-02,NA,"Active"
"Calgary Skyview","Alberta","Calgary",2015-08-02,NA,"Active"
"Carleton","Ontario","Ottawa-Gatineau",2015-08-02,NA,"Active"
"Carlton Trail--Eagle Creek","Saskatchewan",NA,2015-08-02,NA,"Active"
"Central Okanagan--Similkameen--Nicola","British Columbia",NA,2015-08-02,NA,"Active"
"Charleswood--St. James--Assiniboia--Headingley","Manitoba","Winnipeg",2015-08-02,NA,"Active"
"Châteauguay--Lacolle","Quebec",NA,2015-08-02,NA,"Active"
"Chatham-Kent--Leamington","Ontario",NA,2015-08-02,NA,"Active"
"Chicoutimi--Le Fjord","Quebec",NA,2015-08-02,NA,"Active"
"Chilliwack--Hope","British Columbia",NA,2015-08-02,NA,"Active"
"Churchill--Keewatinook Aski","Manitoba",NA,2015-08-02,NA,"Active"
"Cloverdale--Langley City","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"Coast of Bays--Central--Notre Dame","Newfoundland and Labrador",NA,2015-08-02,NA,"Active"
"Coquitlam--Port Coquitlam","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"Courtenay--Alberni","British Columbia",NA,2015-08-02,NA,"Active"
"Cowichan--Malahat--Langford","British Columbia","Victoria",2015-08-02,NA,"Active"
"Cumberland--Colchester","Nova Scotia",NA,2015-08-02,NA,"Active"
"Dauphin--Swan River--Neepawa","Manitoba",NA,2015-08-02,NA,"Active"
"Delta","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"Don Valley North","Ontario","Toronto (City)",2015-08-02,NA,"Active"
"Dorval--Lachine--LaSalle","Quebec","Montreal Island",2015-08-02,NA,"Active"
"Edmonton Griesbach","Alberta","Edmonton",2015-08-02,NA,"Active"
"Edmonton Manning","Alberta","Edmonton",2015-08-02,NA,"Active"
"Edmonton Mill Woods","Alberta","Edmonton",2015-08-02,NA,"Active"
"Edmonton Riverbend","Alberta","Edmonton",2015-08-02,NA,"Active"
"Edmonton Strathcona","Alberta","Edmonton",2015-08-02,NA,"Active"
"Edmonton West","Alberta","Edmonton",2015-08-02,NA,"Active"
"Edmonton--Wetaskiwin","Alberta","Edmonton",2015-08-02,NA,"Active"
"Esquimalt--Saanich--Sooke","British Columbia","Victoria",2015-08-02,NA,"Active"
"Flamborough--Glanbrook","Ontario","Hamilton",2015-08-02,NA,"Active"
"Foothills","Alberta",NA,2015-08-02,NA,"Active"
"Fort McMurray--Cold Lake","Alberta",NA,2015-08-02,NA,"Active"
"Gaspésie--Les Îles-de-la-Madeleine","Quebec",NA,2015-08-02,NA,"Active"
"Grande Prairie--Mackenzie","Alberta",NA,2015-08-02,NA,"Active"
"Hamilton West--Ancaster--Dundas","Ontario","Hamilton",2015-08-02,NA,"Active"
"Hastings--Lennox and Addington","Ontario",NA,2015-08-02,NA,"Active"
"Humber River--Black Creek","Ontario","Toronto (City)",2015-08-02,NA,"Active"
"Jonquière","Quebec",NA,2015-08-02,NA,"Active"
"Kanata--Carleton","Ontario","Ottawa-Gatineau",2015-08-02,NA,"Active"
"King--Vaughan","Ontario",NA,2015-08-02,NA,"Active"
"Kitchener South--Hespeler","Ontario","Kitchener-Waterloo",2015-08-02,NA,"Active"
"La Prairie","Quebec",NA,2015-08-02,NA,"Active"
"Lac-Saint-Jean","Quebec",NA,2015-08-02,NA,"Active"
"Lakeland","Alberta",NA,2015-08-02,NA,"Active"
"Lanark--Frontenac--Kingston","Ontario",NA,2015-08-02,NA,"Active"
"Langley--Aldergrove","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"LaSalle--Émard--Verdun","Quebec","Montreal Island",2015-08-02,NA,"Active"
"Leeds--Grenville--Thousand Islands and Rideau Lakes","Ontario",NA,2015-08-02,NA,"Active"
"Lévis--Lotbinière","Quebec",NA,2015-08-02,NA,"Active"
"Long Range Mountains","Newfoundland and Labrador",NA,2015-08-02,NA,"Active"
"Longueuil--Charles-LeMoyne","Quebec",NA,2015-08-02,NA,"Active"
"Longueuil--Saint-Hubert","Quebec",NA,2015-08-02,NA,"Active"
"Marc-Aurèle-Fortin","Quebec","Laval",2015-08-02,NA,"Active"
"Markham--Stouffville","Ontario",NA,2015-08-02,NA,"Active"
"Markham--Thornhill","Ontario",NA,2015-08-02,NA,"Active"
"Medicine Hat--Cardston--Warner","Alberta",NA,2015-08-02,NA,"Active"
"Milton","Ontario",NA,2015-08-02,NA,"Active"
"Mirabel","Quebec",NA,2015-08-02,NA,"Active"
"Miramichi--Grand Lake","New Brunswick",NA,2015-08-02,NA,"Active"
"Mission--Matsqui--Fraser Canyon","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"Mississauga Centre","Ontario","Mississauga-Brampton",2015-08-02,NA,"Active"
"Mississauga East--Cooksville","Ontario","Mississauga-Brampton",2015-08-02,NA,"Active"
"Mississauga--Erin Mills","Ontario","Mississauga-Brampton",2015-08-02,NA,"Active"
"Mississauga--Lakeshore","Ontario","Mississauga-Brampton",2015-08-02,NA,"Active"
"Mississauga--Malton","Ontario","Mississauga-Brampton",2015-08-02,NA,"Active"
"Montarville","Quebec",NA,2015-08-02,NA,"Active"
"Moose Jaw--Lake Centre--Lanigan","Saskatchewan","Regina",2015-08-02,NA,"Active"
"Mount Royal","Quebec","Montreal Island",2015-08-02,NA,"Active"
"Nanaimo--Ladysmith","British Columbia",NA,2015-08-02,NA,"Active"
"Nepean","Ontario","Ottawa-Gatineau",2015-08-02,NA,"Active"
"New Westminster--Burnaby","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"Niagara Centre","Ontario",NA,2015-08-02,NA,"Active"
"Niagara West","Ontario",NA,2015-08-02,NA,"Active"
"North Island--Powell River","British Columbia",NA,2015-08-02,NA,"Active"
"North Okanagan--Shuswap","British Columbia",NA,2015-08-02,NA,"Active"
"Northumberland--Peterborough South","Ontario",NA,2015-08-02,NA,"Active"
"Northwest Territories","Northwest Territories",NA,2015-08-02,NA,"Active"
"Notre-Dame-de-Grâce--Westmount","Quebec","Montreal Island",2015-08-02,NA,"Active"
"Oakville North--Burlington","Ontario",NA,2015-08-02,NA,"Active"
"Orléans","Ontario","Ottawa-Gatineau",2015-08-02,NA,"Active"
"Peace River--Westlock","Alberta",NA,2015-08-02,NA,"Active"
"Peterborough--Kawartha","Ontario",NA,2015-08-02,NA,"Active"
"Pickering--Uxbridge","Ontario",NA,2015-08-02,NA,"Active"
"Pierre-Boucher--Les Patriotes--Verchères","Quebec",NA,2015-08-02,NA,"Active"
"Pitt Meadows--Maple Ridge","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"Port Moody--Coquitlam","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"Prince George--Peace River--Northern Rockies","British Columbia",NA,2015-08-02,NA,"Active"
"Red Deer--Lacombe","Alberta",NA,2015-08-02,NA,"Active"
"Red Deer--Mountain View","Alberta",NA,2015-08-02,NA,"Active"
"Regina--Lewvan","Saskatchewan","Regina",2015-08-02,NA,"Active"
"Regina--Wascana","Saskatchewan","Regina",2015-08-02,NA,"Active"
"Richmond Centre","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"Rimouski-Neigette--Témiscouata--Les Basques","Quebec",NA,2015-08-02,NA,"Active"
"Sackville--Preston--Chezzetcook","Nova Scotia","Halifax",2015-08-02,NA,"Active"
"Saint Boniface--Saint Vital","Manitoba","Winnipeg",2015-08-02,NA,"Active"
"Saint John--Rothesay","New Brunswick",NA,2015-08-02,NA,"Active"
"Saint-Laurent","Quebec","Montreal Island",2015-08-02,NA,"Active"
"Salaberry--Suroît","Quebec",NA,2015-08-02,NA,"Active"
"Saskatoon West","Saskatchewan","Saskatoon",2015-08-02,NA,"Active"
"Saskatoon--Grasswood","Saskatchewan","Saskatoon",2015-08-02,NA,"Active"
"Saskatoon--University","Saskatchewan","Saskatoon",2015-08-02,NA,"Active"
"Scarborough North","Ontario","Toronto (City)",2015-08-02,NA,"Active"
"Scarborough--Rouge Park","Ontario","Toronto (City)",2015-08-02,NA,"Active"
"Selkirk--Interlake--Eastman","Manitoba",NA,2015-08-02,NA,"Active"
"Sherwood Park--Fort Saskatchewan","Alberta",NA,2015-08-02,NA,"Active"
"South Shore--St. Margarets","Nova Scotia","Halifax",2015-08-02,NA,"Active"
"South Surrey--White Rock","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"Spadina--Fort York","Ontario","Toronto (City)",2015-08-02,NA,"Active"
"St. Albert--Edmonton","Alberta","Edmonton",2015-08-02,NA,"Active"
"Steveston--Richmond East","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"Sturgeon River--Parkland","Alberta",NA,2015-08-02,NA,"Active"
"Surrey Centre","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"Surrey--Newton","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"Terrebonne","Quebec",NA,2015-08-02,NA,"Active"
"Thérèse-De Blainville","Quebec",NA,2015-08-02,NA,"Active"
"Toronto--St. Paul's","Ontario","Toronto (City)",2015-08-02,NA,"Active"
"University--Rosedale","Ontario","Toronto (City)",2015-08-02,NA,"Active"
"Vancouver Granville","British Columbia","Vancouver Region",2015-08-02,NA,"Active"
"Vaudreuil--Soulanges","Quebec",NA,2015-08-02,NA,"Active"
"Vaughan--Woodbridge","Ontario","Toronto Region",2015-08-02,NA,"Active"
"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","Quebec","Montreal Island",2015-08-02,NA,"Active"
"Vimy","Quebec","Laval",2015-08-02,NA,"Active"
"Waterloo","Ontario","Kitchener-Waterloo",2015-08-02,NA,"Active"
"Whitby","Ontario","Toronto Region",2015-08-02,NA,"Active"
"South Okanagan--West Kootenay","British Columbia",NA,2015-03-02,NA,"Active"
"Kitchener--Conestoga","Ontario","Kitchener-Waterloo",2005-02-24,NA,"Active"
"Abitibi--Baie-James--Nunavik--Eeyou","Quebec",NA,2004-09-01,NA,"Active"
"Beauport--Limoilou","Quebec","Québec City",2004-09-01,NA,"Active"
"Bruce--Grey--Owen Sound","Ontario",NA,2004-09-01,NA,"Active"
"Calgary Centre","Alberta","Calgary",2004-09-01,NA,"Active"
"Charlesbourg--Haute-Saint-Charles","Quebec","Québec City",2004-09-01,NA,"Active"
"Desnethé--Missinippi--Churchill River","Saskatchewan",NA,2004-09-01,NA,"Active"
"Durham","Ontario","Toronto (City)",2004-09-01,NA,"Active"
"Fundy Royal","New Brunswick",NA,2004-09-01,NA,"Active"
"Kamloops--Thompson--Cariboo","British Columbia",NA,2004-09-01,NA,"Active"
"Kelowna--Lake Country","British Columbia",NA,2004-09-01,NA,"Active"
"Lambton--Kent--Middlesex","Ontario",NA,2004-09-01,NA,"Active"
"Laurier--Sainte-Marie","Quebec","Montreal Island",2004-09-01,NA,"Active"
"Montmagny--L’Islet--Kamouraska--Rivière-du-Loup","Quebec",NA,2004-09-01,NA,"Active"
"New Brunswick Southwest","New Brunswick",NA,2004-09-01,NA,"Active"
"Portneuf--Jacques-Cartier","Quebec",NA,2004-09-01,NA,"Active"
"St. John's East","Newfoundland and Labrador","St. John's (NF)",2004-09-01,NA,"Active"
"St. John's South--Mount Pearl","Newfoundland and Labrador","St. John's (NF)",2004-09-01,NA,"Active"
"West Vancouver--Sunshine Coast--Sea to Sky Country","British Columbia","Vancouver Region",2004-09-01,NA,"Active"
"Abbotsford","British Columbia","Vancouver Region",2004-05-23,NA,"Active"
"Abitibi--Témiscamingue","Quebec",NA,2004-05-23,NA,"Active"
"Alfred-Pellan","Quebec","Laval",2004-05-23,NA,"Active"
"Algoma--Manitoulin--Kapuskasing","Ontario",NA,2004-05-23,NA,"Active"
"Avalon","Newfoundland and Labrador",NA,2004-05-23,NA,"Active"
"Beauséjour","New Brunswick",NA,2004-05-23,NA,"Active"
"Berthier--Maskinongé","Quebec",NA,2004-05-23,NA,"Active"
"Brampton West","Ontario","Mississauga-Brampton",2004-05-23,NA,"Active"
"Cape Breton--Canso","Nova Scotia",NA,2004-05-23,NA,"Active"
"Cariboo--Prince George","British Columbia",NA,2004-05-23,NA,"Active"
"Central Nova","Nova Scotia",NA,2004-05-23,NA,"Active"
"Charlottetown","Prince Edward Island",NA,2004-05-23,NA,"Active"
"Dartmouth--Cole Harbour","Nova Scotia","Halifax",2004-05-23,NA,"Active"
"Dufferin--Caledon","Ontario","Toronto (City)",2004-05-23,NA,"Active"
"Edmonton Centre","Alberta","Edmonton",2004-05-23,NA,"Active"
"Elmwood--Transcona","Manitoba","Winnipeg",2004-05-23,NA,"Active"
"Fleetwood--Port Kells","British Columbia","Vancouver Region",2004-05-23,NA,"Active"
"Guelph","Ontario",NA,2004-05-23,NA,"Active"
"Haldimand--Norfolk","Ontario",NA,2004-05-23,NA,"Active"
"Haliburton--Kawartha Lakes--Brock","Ontario",NA,2004-05-23,NA,"Active"
"Hamilton Centre","Ontario","Hamilton",2004-05-23,NA,"Active"
"Hamilton East--Stoney Creek","Ontario","Hamilton",2004-05-23,NA,"Active"
"Hochelaga","Quebec","Montreal Island",2004-05-23,NA,"Active"
"Honoré-Mercier","Quebec","Montreal Island",2004-05-23,NA,"Active"
"Kenora","Ontario",NA,2004-05-23,NA,"Active"
"Kildonan--St. Paul","Manitoba","Winnipeg",2004-05-23,NA,"Active"
"La Pointe-de-l'Île","Quebec","Montreal Island",2004-05-23,NA,"Active"
"Laurentides--Labelle","Quebec",NA,2004-05-23,NA,"Active"
"Laval--Les Îles","Quebec","Laval",2004-05-23,NA,"Active"
"Louis-Saint-Laurent","Quebec","Québec City",2004-05-23,NA,"Active"
"Markham--Unionville","Ontario","Toronto (City)",2004-05-23,NA,"Active"
"Mégantic--L'Érable","Quebec",NA,2004-05-23,NA,"Active"
"Mississauga--Streetsville","Ontario","Mississauga-Brampton",2004-05-23,NA,"Active"
"Montcalm","Quebec",NA,2004-05-23,NA,"Active"
"Newmarket--Aurora","Ontario","Toronto (City)",2004-05-23,NA,"Active"
"Nipissing--Timiskaming","Ontario",NA,2004-05-23,NA,"Active"
"Papineau","Quebec","Montreal Island",2004-05-23,NA,"Active"
"Perth--Wellington","Ontario",NA,2004-05-23,NA,"Active"
"Pontiac","Quebec","Ottawa-Gatineau",2004-05-23,NA,"Active"
"Richmond Hill","Ontario","Toronto (City)",2004-05-23,NA,"Active"
"Rivière-du-Nord","Quebec",NA,2004-05-23,NA,"Active"
"Rosemont--La Petite-Patrie","Quebec","Montreal Island",2004-05-23,NA,"Active"
"Saint-Maurice--Champlain","Quebec",NA,2004-05-23,NA,"Active"
"Scarborough--Guildwood","Ontario","Toronto (City)",2004-05-23,NA,"Active"
"Skeena--Bulkley Valley","British Columbia",NA,2004-05-23,NA,"Active"
"Stormont--Dundas--South Glengarry","Ontario",NA,2004-05-23,NA,"Active"
"Thunder Bay--Rainy River","Ontario","Thunder Bay",2004-05-23,NA,"Active"
"Toronto Centre","Ontario","Toronto (City)",2004-05-23,NA,"Active"
"Vancouver South","British Columbia","Vancouver Region",2004-05-23,NA,"Active"
"Wellington--Halton Hills","Ontario","Toronto (City)",2004-05-23,NA,"Active"
"West Nova","Nova Scotia",NA,2004-05-23,NA,"Active"
"Windsor--Tecumseh","Ontario","Windsor",2004-05-23,NA,"Active"
"Winnipeg North","Manitoba","Winnipeg",2004-05-23,NA,"Active"
"Winnipeg South Centre","Manitoba","Winnipeg",2004-05-23,NA,"Active"
"York--Simcoe","Ontario","Toronto (City)",2004-05-23,NA,"Active"
"Toronto--Danforth","Ontario","Toronto (City)",2000-06-29,NA,"Active"
"Nunavut","Nunavut",NA,1999-04-01,NA,"Active"
"Moncton--Riverview--Dieppe","New Brunswick",NA,1998-06-18,NA,"Active"
"Regina--Qu'Appelle","Saskatchewan","Regina",1998-06-18,NA,"Active"
"Rivière-des-Mille-Îles","Quebec",NA,1998-06-18,NA,"Active"
"Thunder Bay--Superior North","Ontario","Thunder Bay",1998-06-18,NA,"Active"
"Battlefords--Lloydminster","Saskatchewan",NA,1997-04-27,NA,"Active"
"Beaches--East York","Ontario","Toronto (City)",1997-04-27,NA,"Active"
"Compton--Stanstead","Quebec",NA,1997-04-27,NA,"Active"
"Cypress Hills--Grasslands","Saskatchewan",NA,1997-04-27,NA,"Active"
"Elgin--Middlesex--London","Ontario","London",1997-04-27,NA,"Active"
"Essex","Ontario",NA,1997-04-27,NA,"Active"
"Fredericton","New Brunswick",NA,1997-04-27,NA,"Active"
"Gatineau","Quebec","Ottawa-Gatineau",1997-04-27,NA,"Active"
"Kings--Hants","Nova Scotia",NA,1997-04-27,NA,"Active"
"Kitchener Centre","Ontario","Kitchener-Waterloo",1997-04-27,NA,"Active"
"Kootenay--Columbia","British Columbia",NA,1997-04-27,NA,"Active"
"Lac-Saint-Louis","Quebec","Montreal Island",1997-04-27,NA,"Active"
"London North Centre","Ontario","London",1997-04-27,NA,"Active"
"London--Fanshawe","Ontario","London",1997-04-27,NA,"Active"
"Madawaska--Restigouche","New Brunswick",NA,1997-04-27,NA,"Active"
"Oakville","Ontario",NA,1997-04-27,NA,"Active"
"Ottawa West--Nepean","Ontario","Ottawa-Gatineau",1997-04-27,NA,"Active"
"Portage--Lisgar","Manitoba",NA,1997-04-27,NA,"Active"
"Prince Albert","Saskatchewan",NA,1997-04-27,NA,"Active"
"Repentigny","Quebec",NA,1997-04-27,NA,"Active"
"Richmond--Arthabaska","Quebec",NA,1997-04-27,NA,"Active"
"Saanich--Gulf Islands","British Columbia","Victoria",1997-04-27,NA,"Active"
"Saint-Léonard--Saint-Michel","Quebec","Montreal Island",1997-04-27,NA,"Active"
"Scarborough Southwest","Ontario","Toronto (City)",1997-04-27,NA,"Active"
"Simcoe--Grey","Ontario",NA,1997-04-27,NA,"Active"
"Sydney--Victoria","Nova Scotia",NA,1997-04-27,NA,"Active"
"Thornhill","Ontario","Toronto (City)",1997-04-27,NA,"Active"
"Timmins--James Bay","Ontario",NA,1997-04-27,NA,"Active"
"Tobique--Mactaquac","New Brunswick",NA,1997-04-27,NA,"Active"
"Vancouver Kingsway","British Columbia","Vancouver Region",1997-04-27,NA,"Active"
"Winnipeg Centre","Manitoba","Winnipeg",1997-04-27,NA,"Active"
"Acadie--Bathurst","New Brunswick",NA,1990-12-19,NA,"Active"
"Québec","Quebec","Québec City",1990-12-19,NA,"Active"
"Renfrew--Nipissing--Pembroke","Ontario",NA,1989-12-29,NA,"Active"
"Labrador","Newfoundland and Labrador",NA,1988-10-01,NA,"Active"
"Lethbridge","Alberta",NA,1988-10-01,NA,"Active"
"North Vancouver","British Columbia","Vancouver Region",1988-10-01,NA,"Active"
"Ottawa South","Ontario","Ottawa-Gatineau",1988-10-01,NA,"Active"
"Pierrefonds--Dollard","Quebec","Montreal Island",1988-10-01,NA,"Active"
"Sault Ste. Marie","Ontario",NA,1988-10-01,NA,"Active"
"Scarborough--Agincourt","Ontario","Toronto (City)",1988-10-01,NA,"Active"
"Souris--Moose Mountain","Saskatchewan",NA,1988-10-01,NA,"Active"
"Winnipeg South","Manitoba","Winnipeg",1988-10-01,NA,"Active"
"Brome--Missisquoi","Quebec",NA,1984-07-09,NA,"Active"
"Hull--Aylmer","Quebec","Ottawa-Gatineau",1984-07-09,NA,"Active"
"Saint-Hyacinthe--Bagot","Quebec",NA,1981-01-17,NA,"Active"
"Sarnia--Lambton","Ontario",NA,1981-01-17,NA,"Active"
"Bourassa","Quebec","Montreal Island",1979-03-26,NA,"Active"
"Burlington","Ontario",NA,1979-03-26,NA,"Active"
"Cambridge","Ontario","Kitchener-Waterloo",1979-03-26,NA,"Active"
"Don Valley East","Ontario","Toronto (City)",1979-03-26,NA,"Active"
"Don Valley West","Ontario","Toronto (City)",1979-03-26,NA,"Active"
"Eglinton--Lawrence","Ontario","Toronto (City)",1979-03-26,NA,"Active"
"Etobicoke Centre","Ontario","Toronto (City)",1979-03-26,NA,"Active"
"Etobicoke North","Ontario","Toronto (City)",1979-03-26,NA,"Active"
"Etobicoke--Lakeshore","Ontario","Toronto (City)",1979-03-26,NA,"Active"
"Halifax West","Nova Scotia","Halifax",1979-03-26,NA,"Active"
"Huron--Bruce","Ontario",NA,1979-03-26,NA,"Active"
"Oshawa","Ontario",NA,1979-03-26,NA,"Active"
"Parkdale--High Park","Ontario","Toronto (City)",1979-03-26,NA,"Active"
"Scarborough Centre","Ontario","Toronto (City)",1979-03-26,NA,"Active"
"Trois-Rivières","Quebec",NA,1979-03-26,NA,"Active"
"Willowdale","Ontario","Toronto (City)",1979-03-26,NA,"Active"
"Yellowhead","Alberta",NA,1979-03-26,NA,"Active"
"York South--Weston","Ontario","Toronto (City)",1979-03-26,NA,"Active"
"Ottawa--Vanier","Ontario","Ottawa-Gatineau",1973-12-12,NA,"Active"
"Glengarry--Prescott--Russell","Ontario","Ottawa-Gatineau",1970-06-26,NA,"Active"
"Cardigan","Prince Edward Island",NA,1968-04-23,NA,"Active"
"Drummond","Quebec",NA,1968-04-23,NA,"Active"
"Egmont","Prince Edward Island",NA,1968-04-23,NA,"Active"
"Hamilton Mountain","Ontario","Hamilton",1968-04-23,NA,"Active"
"Joliette","Quebec",NA,1968-04-23,NA,"Active"
"Kingston and the Islands","Ontario",NA,1968-04-23,NA,"Active"
"London West","Ontario","London",1968-04-23,NA,"Active"
"Louis-Hébert","Quebec","Québec City",1968-04-23,NA,"Active"
"Malpeque","Prince Edward Island",NA,1968-04-23,NA,"Active"
"Manicouagan","Quebec",NA,1968-04-23,NA,"Active"
"Ottawa Centre","Ontario","Ottawa-Gatineau",1968-04-23,NA,"Active"
"Outremont","Quebec","Montreal Island",1968-04-23,NA,"Active"
"Saint-Jean","Quebec",NA,1968-04-23,NA,"Active"
"St. Catharines","Ontario","Toronto (City)",1968-04-23,NA,"Active"
"Windsor West","Ontario","Windsor",1968-04-23,NA,"Active"
"Yorkton--Melville","Saskatchewan",NA,1968-04-23,NA,"Active"
"Brandon--Souris","Manitoba",NA,1953-06-13,NA,"Active"
"Niagara Falls","Ontario",NA,1953-06-13,NA,"Active"
"Nickel Belt","Ontario",NA,1953-06-13,NA,"Active"
"York Centre","Ontario","Toronto (City)",1953-06-13,NA,"Active"
"Yukon","Yukon",NA,1953-06-13,NA,"Active"
"Parry Sound--Muskoka","Ontario",NA,1949-04-30,NA,"Active"
"Sudbury","Ontario",NA,1949-04-30,NA,"Active"
"Vancouver Quadra","British Columbia","Vancouver Region",1949-04-30,NA,"Active"
"Davenport","Ontario","Toronto (City)",1935-08-14,NA,"Active"
"Oxford","Ontario",NA,1935-08-14,NA,"Active"
"Vancouver East","British Columbia","Vancouver Region",1935-08-14,NA,"Active"
"Sherbrooke","Quebec",NA,1925-09-05,NA,"Active"
"Victoria","British Columbia","Victoria",1925-09-05,NA,"Active"
"Vancouver Centre","British Columbia","Vancouver Region",1917-10-06,NA,"Active"
"Provencher","Manitoba",NA,1871-05-01,NA,"Active"
"Beauce","Quebec",NA,1867-08-06,NA,"Active"
"Halifax","Nova Scotia","Halifax",1867-08-06,NA,"Active"
"Shefford","Quebec",NA,1867-08-06,NA,"Active"
"Simcoe North","Ontario",NA,1867-08-06,NA,"Active"
